,piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
388,A05,RUNEBERGINKATU,25495686,6673769,2.0,8,2011,90,11,3,1,8,0,3,3751
392,A05,RUNEBERGINKATU,25495686,6673769,2.0,9,2011,133,17,4,0,10,0,2,4407
396,A05,RUNEBERGINKATU,25495686,6673769,2.0,10,2011,481,94,11,1,36,2,13,4099
397,A05,RUNEBERGINKATU,25495686,6673769,2.0,11,2011,506,107,20,2,33,3,12,3864
398,A05,RUNEBERGINKATU,25495686,6673769,2.0,12,2011,512,96,17,0,40,1,20,3872
399,A05,RUNEBERGINKATU,25495686,6673769,2.0,13,2011,554,107,18,3,37,0,10,4186
400,A05,RUNEBERGINKATU,25495686,6673769,2.0,14,2011,641,112,27,0,33,3,12,4383
401,A05,RUNEBERGINKATU,25495686,6673769,2.0,15,2011,615,114,25,1,42,5,12,4798
402,A05,RUNEBERGINKATU,25495686,6673769,2.0,16,2011,177,38,2,0,17,1,3,5844
406,A05,RUNEBERGINKATU,25495686,6673769,2.0,17,2011,175,24,2,0,11,1,2,5631
410,A05,RUNEBERGINKATU,25495686,6673769,2.0,18,2011,188,12,2,0,7,3,3,5164
414,A05,RUNEBERGINKATU,25495686,6673769,2.0,19,2011,631,66,6,0,40,4,16,4696
415,A05,RUNEBERGINKATU,25495686,6673769,2.0,20,2011,527,45,7,0,25,5,8,3600
416,A05,RUNEBERGINKATU,25495686,6673769,2.0,21,2011,516,41,7,0,25,5,8,2984
417,A05,RUNEBERGINKATU,25495686,6673769,2.0,22,2011,393,29,4,0,27,1,8,2368
418,A05,RUNEBERGINKATU,25495686,6673769,2.0,23,2011,185,14,2,0,13,1,8,1554
419,A05,RUNEBERGINKATU,25495686,6673769,2.0,24,2011,217,17,3,0,15,1,8,909
420,A06,TÖÖLÖNKATU,25496053,6673778,1.0,1,2011,20,1,0,0,1,0,0,95
421,A06,TÖÖLÖNKATU,25496053,6673778,1.0,2,2011,10,1,0,0,0,0,0,67
422,A06,TÖÖLÖNKATU,25496053,6673778,1.0,3,2011,8,1,0,0,0,0,0,46
423,A06,TÖÖLÖNKATU,25496053,6673778,1.0,4,2011,6,1,0,0,0,0,0,36
424,A06,TÖÖLÖNKATU,25496053,6673778,1.0,5,2011,8,1,0,0,0,0,0,39
425,A06,TÖÖLÖNKATU,25496053,6673778,1.0,6,2011,25,2,0,0,0,0,0,106
426,A06,TÖÖLÖNKATU,25496053,6673778,1.0,7,2011,5,0,0,0,0,0,0,369
430,A06,TÖÖLÖNKATU,25496053,6673778,1.0,8,2011,18,5,0,0,0,1,0,923
434,A06,TÖÖLÖNKATU,25496053,6673778,1.0,9,2011,60,7,0,0,1,2,0,1769
438,A06,TÖÖLÖNKATU,25496053,6673778,1.0,10,2011,200,46,14,1,4,4,0,1549
439,A06,TÖÖLÖNKATU,25496053,6673778,1.0,11,2011,152,39,15,0,1,2,0,1076
440,A06,TÖÖLÖNKATU,25496053,6673778,1.0,12,2011,144,18,3,0,2,2,0,947
441,A06,TÖÖLÖNKATU,25496053,6673778,1.0,13,2011,171,28,4,0,7,1,0,1127
442,A06,TÖÖLÖNKATU,25496053,6673778,1.0,14,2011,160,27,4,0,3,0,0,1058
443,A06,TÖÖLÖNKATU,25496053,6673778,1.0,15,2011,156,35,3,0,2,2,0,1075
444,A06,TÖÖLÖNKATU,25496053,6673778,1.0,16,2011,36,4,2,0,0,0,0,1173
448,A06,TÖÖLÖNKATU,25496053,6673778,1.0,17,2011,16,3,0,0,0,0,0,1411
452,A06,TÖÖLÖNKATU,25496053,6673778,1.0,18,2011,65,2,1,0,1,1,0,1463
456,A06,TÖÖLÖNKATU,25496053,6673778,1.0,19,2011,230,15,0,0,6,2,0,1220
457,A06,TÖÖLÖNKATU,25496053,6673778,1.0,20,2011,127,2,0,0,1,0,0,812
458,A06,TÖÖLÖNKATU,25496053,6673778,1.0,21,2011,106,1,0,0,0,0,0,708
459,A06,TÖÖLÖNKATU,25496053,6673778,1.0,22,2011,70,1,0,0,0,0,0,553
460,A06,TÖÖLÖNKATU,25496053,6673778,1.0,23,2011,53,1,0,0,0,0,0,352
461,A06,TÖÖLÖNKATU,25496053,6673778,1.0,24,2011,38,1,0,0,0,0,0,239
462,A06,TÖÖLÖNKATU,25496053,6673778,2.0,1,2011,18,1,0,0,0,0,0,93
463,A06,TÖÖLÖNKATU,25496053,6673778,2.0,2,2011,5,0,0,0,0,0,0,52
464,A06,TÖÖLÖNKATU,25496053,6673778,2.0,3,2011,8,1,0,0,0,0,0,55
465,A06,TÖÖLÖNKATU,25496053,6673778,2.0,4,2011,12,1,0,0,0,0,0,67
466,A06,TÖÖLÖNKATU,25496053,6673778,2.0,5,2011,11,1,0,0,0,0,0,67
467,A06,TÖÖLÖNKATU,25496053,6673778,2.0,6,2011,13,1,0,0,0,0,0,87
