piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,15.0,2011,1055,129,45,22,84,15,0,8212
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16.0,2011,308,35,10,8,25,7,0,2264
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16.15,2011,310,22,4,11,23,6,0,2538
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16.3,2011,374,31,5,8,32,2,0,2615
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16.45,2011,331,28,11,4,25,2,0,2600
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17.0,2011,408,24,8,5,32,3,0,2709
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17.15,2011,460,19,5,8,28,6,0,2866
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17.3,2011,432,23,7,9,32,7,0,3014
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17.45,2011,400,19,4,6,27,9,0,2783
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18.0,2011,383,18,4,10,31,7,0,2752
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18.15,2011,404,18,0,9,23,5,0,2780
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18.3,2011,394,10,7,10,25,4,0,2916
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18.45,2011,384,20,4,9,27,8,0,2670
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,19.0,2011,1223,62,17,17,93,44,0,9235
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,20.0,2011,1061,58,5,28,32,8,0,6319
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,21.0,2011,899,42,9,15,48,8,0,5267
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,22.0,2011,541,25,5,9,29,2,0,3707
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,23.0,2011,321,16,3,6,18,1,0,2024
A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,24.0,2011,233,11,3,4,13,1,0,1309
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,1.0,2011,158,8,2,3,8,0,0,1199
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,2.0,2011,100,5,1,2,6,0,0,643
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,3.0,2011,54,3,1,1,3,0,0,405
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,4.0,2011,47,2,1,1,2,0,0,307
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,5.0,2011,37,2,0,1,2,0,0,294
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,6.0,2011,83,4,1,1,5,0,0,569
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,7.0,2011,40,3,3,1,1,0,0,318
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,7.15,2011,85,6,2,3,8,0,0,558
A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,7.3,2011,109,17,2,2,7,1,0,910
