Onnett_id,Vuosi,Kk,Kuolleet,Loukkaant,Vakavuusko,Tunti,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Katuosoite,accident-index
6663570,2011,12,0,0,0,8,2,3,2,50,40000.0,,E,LÄNSIVÄYLÄ,91
6763231,2011,10,0,0,0,20,8,6,2,50,40000.0,,E,LÄNSIVÄYLÄ,92
6683018,2011,12,0,0,0,9,3,3,2,80,40000.0,,E,LÄNSIVÄYLÄ,93
6654667,2011,2,0,0,0,17,13,2,2,50,42603.0,3089.0,E,LÄNSIVÄYLÄ,94
6840677,2011,10,0,0,0,16,3,3,2,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,95
6471135,2011,2,0,0,0,22,81,13,2,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,96
6763640,2011,5,0,0,0,22,4,3,2,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,97
6736929,2011,4,0,0,0,14,8,6,4,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,98
6863295,2011,8,0,1,2,9,6,6,2,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,99
6714699,2011,4,0,0,0,14,3,3,3,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,100
6654643,2011,3,0,0,0,16,99,13,2,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,101
6791887,2011,6,0,0,0,19,82,1,1,80,42603.0,3089.0,E,LÄNSIVÄYLÄ,102
6471112,2011,2,0,0,0,13,3,3,2,80,56817.0,3010.0,E,LÄNSIVÄYLÄ,103
6863214,2011,7,0,0,0,6,81,1,1,80,56817.0,3010.0,E,LÄNSIVÄYLÄ,104
6683104,2011,4,0,0,0,10,99,13,1,80,56817.0,3010.0,E,LÄNSIVÄYLÄ,105
6547336,2011,1,0,0,0,9,3,3,2,80,56817.0,3010.0,E,LÄNSIVÄYLÄ,106
6614827,2011,3,0,0,0,24,4,3,2,80,56817.0,3010.0,E,LÄNSIVÄYLÄ,107
6807331,2011,9,0,0,0,19,2,3,2,50,59312.0,2826.0,K,KEHÄ 1,108
6785144,2011,9,0,0,0,13,3,3,2,80,59312.0,2826.0,E,KEHÄ 1,109
6492207,2011,1,0,0,0,16,4,3,2,80,59312.0,2826.0,E,KEHÄ 1,110
6743999,2011,11,0,0,0,8,6,6,2,80,59312.0,2826.0,E,KEHÄ 1,111
6770902,2011,4,0,0,0,18,8,6,4,80,59312.0,2826.0,E,KEHÄ 1,112
6885700,2011,6,0,0,0,12,3,3,2,80,59312.0,2826.0,E,KEHÄ 1,113
6736690,2011,4,0,0,0,18,6,6,2,80,59312.0,2826.0,E,KEHÄ 1,114
6494274,2011,1,0,0,0,17,6,6,2,70,59312.0,2826.0,E,KEHÄ 1,115
