Onnett_id,Tienpit,Tie,Aosa,Aet,Ajr,Vuosi,Kk,Päivä,Kuolleet,Loukkaant,Vakavuusko,Tunti,Vkpv,Ontyyppi,Onluokka,Osallkm,Nopraj,Taajmerk,Pinta,Valoisuus,Sää,Onnpaikka,Liikvalot,Liittyvtie,Noplaji,Nopsuunvas,Nopsuunoik,Taajama,Mo_mol,Toimluokka,Kvl,Raskaskvl,Tienlev,X,Y,Tietyö,Päällyste,Lämpötila,Risteys,Katuosoite,Tietyyppi,Lisäkaisty,Solmutyyp,Liitluok,Lähliittie,Suuntlkm,Toimenpide,Valaisomis,Poikkileik,Päällyslev,Päällystlk
6900436,1,3.0,101.0,8366.0,2.0,2011,8,12.08.2011,0,0,0,15,Perjantai,9,13,2,80,0,1,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,382568.0,6682142.0,E,1,22.0,0,TIE 3,-1,-1,-1,-1,,,3,1,2,90.0,10
6691492,1,3.0,101.0,8378.0,2.0,2011,4,12.04.2011,0,0,0,9,Tiistai,3,3,2,80,0,1,1,1,1,-1,,1,80,80,E,-1,1,43530.0,3024.0,181.0,382564.0,6682153.0,E,1,5.0,0,HÄMEENLINNANVÄYLÄ                       ,-1,-1,-1,-1,,,3,1,2,90.0,10
6886359,1,4.0,102.0,24.0,2.0,2011,8,05.08.2011,0,0,0,10,Perjantai,80,1,1,80,0,1,1,1,1,-1,,1,80,80,E,1,1,40377.0,4517.0,336.0,387771.0,6677285.0,E,1,20.0,0,KUSTAA VAASANTIE                        ,-1,-1,-1,-1,,,1,1,2,150.0,10
6682964,1,4.0,102.0,668.0,2.0,2011,12,16.12.2011,0,0,0,18,Perjantai,2,3,2,80,0,1,4,2,1,-1,,1,100,80,E,1,1,40377.0,4517.0,336.0,388208.0,6677764.0,K,1,4.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6682859,1,4.0,102.0,751.0,1.0,2011,12,02.12.2011,0,0,0,19,Perjantai,6,6,2,100,0,2,4,4,1,-1,,1,100,80,E,1,1,40377.0,4517.0,336.0,388302.0,6677804.0,E,1,4.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6625034,1,4.0,102.0,949.0,2.0,2011,1,20.01.2011,0,1,2,8,Torstai,2,3,4,100,0,5,4,6,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,388454.0,6677904.0,E,1,1.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6815228,1,4.0,102.0,1155.0,2.0,2011,5,12.05.2011,0,3,2,9,Torstai,6,6,3,100,0,1,1,1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,388646.0,6677986.0,E,1,15.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6816027,1,4.0,102.0,1487.0,1.0,2011,7,20.07.2011,0,0,0,1,Keskiviikko,90,11,2,100,0,1,4,2,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,388954.0,6678148.0,E,1,15.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6900487,1,4.0,102.0,2258.0,2.0,2011,7,29.07.2011,0,0,0,15,Perjantai,6,6,2,100,0,3,1,4,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,389605.0,6678524.0,E,1,22.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6654579,1,4.0,102.0,2338.0,2.0,2011,5,03.05.2011,0,0,0,12,Tiistai,99,13,2,100,0,-1,1,-1,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,389686.0,6678532.0,E,1,2.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6682963,1,4.0,102.0,2381.0,2.0,2011,12,16.12.2011,0,0,0,8,Perjantai,6,6,2,80,0,2,4,4,1,-1,,1,100,100,E,1,1,40377.0,4517.0,336.0,389729.0,6678535.0,E,1,4.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,150.0,10
6737098,1,4.0,102.0,2866.0,2.0,2011,10,30.10.2011,0,0,0,18,Sunnuntai,80,1,1,80,0,2,2,4,1,-1,,1,100,100,E,1,1,40377.0,4517.0,303.0,390191.0,6678680.0,E,1,8.0,0,LAHDEN MOOTTORITIE                      ,-1,3,-1,-1,,,1,1,2,122.0,10
6548011,1,4.0,102.0,3155.0,1.0,2011,1,07.01.2011,0,0,0,12,Perjantai,89,1,1,100,0,6,1,6,1,-1,,1,100,100,E,1,1,40377.0,4517.0,268.0,390465.0,6678804.0,E,1,-3.0,0,LAHDENVÄYLÄ                             ,-1,3,-1,-1,,,1,1,2,125.0,10
